checkpoint,eval_split,samples,candidates,seeds,Recall@1_mean,Recall@1_std,Recall@1_min,Recall@1_max,Recall@3_mean,Recall@3_std,Recall@3_min,Recall@3_max,Recall@5_mean,Recall@5_std,Recall@5_min,Recall@5_max,NDCG@1_mean,NDCG@1_std,NDCG@1_min,NDCG@1_max,NDCG@3_mean,NDCG@3_std,NDCG@3_min,NDCG@3_max,NDCG@5_mean,NDCG@5_std,NDCG@5_min,NDCG@5_max,MRR_mean,MRR_std,MRR_min,MRR_max
base,global,63662,11112,3,20.132365723142012,0.28501323372520054,19.859570858596964,20.428198925575696,48.49884284711968,0.8573499601610365,47.81659388646288,49.46121705255882,57.95817494476035,0.8539992494913701,57.187961421256006,58.876566868775726,20.132365723142012,0.28501323372520054,19.859570858596964,20.428198925575696,36.74010664014589,0.39984800829116185,36.45668086110993,37.19746300031993,40.65426961928704,0.3956523732921436,40.33348723093948,41.09637839364749,36.60466427435673,0.2062147926165209,36.472038621858424,36.8422440498939
task1,global,63662,11752,3,7.051302189689298,0.3487272731832744,6.804687254563162,7.45028431403349,15.019425507628831,0.6756071532995961,14.479595363010903,15.777072665012096,19.022336715780213,0.6521508174549147,18.400301592786906,19.700920486318367,7.051302189689298,0.3487272731832744,6.804687254563162,7.45028431403349,11.663324186042985,0.5415597817219913,11.253785681070658,12.27735577113202,13.30908419228461,0.5246497578906733,12.868341063805977,13.889409211124507,13.062230771168132,0.48020338489651726,12.582742618475585,13.543146206586517
task2,global,63662,12392,3,3.2703967830102734,0.7489105490057165,2.7834500958185417,4.1327636580691784,6.621951347219167,1.6853411254772257,5.565329395871949,8.565549307279067,8.425748484182087,2.1780152452085266,7.05915616851497,10.93745091263234,3.2703967830102734,0.7489105490057165,2.7834500958185417,4.1327636580691784,5.207435727193099,1.2825980835314323,4.39794636039354,6.686239565228851,5.948791398744714,1.4844094709769005,5.011702199551639,7.660263732400107,6.132169364703176,1.5123896394940455,5.174673925991022,7.875719157619774
task3,global,63662,13035,3,2.7337082299226125,0.6800699146123727,1.9509283402971946,3.1792906286324656,5.59988690270491,1.5181300216908957,3.8625867864660233,6.671169614526719,7.193721005728169,2.0084436507746384,4.893028808394333,8.59696522258176,2.7337082299226125,0.6800699146123727,1.9509283402971946,3.1792906286324656,4.388503192739255,1.165830741152295,3.0517505706601833,5.194649738369772,5.042691039066967,1.3669871658440098,3.4750240731653523,5.986115012329249,5.333006797816014,1.3647114537843972,3.7619806804814573,6.225033029752396
