checkpoint,eval_split,samples,candidates,seeds,Recall@1_mean,Recall@1_std,Recall@1_min,Recall@1_max,Recall@3_mean,Recall@3_std,Recall@3_min,Recall@3_max,Recall@5_mean,Recall@5_std,Recall@5_min,Recall@5_max,NDCG@1_mean,NDCG@1_std,NDCG@1_min,NDCG@1_max,NDCG@3_mean,NDCG@3_std,NDCG@3_min,NDCG@3_max,NDCG@5_mean,NDCG@5_std,NDCG@5_min,NDCG@5_max,MRR_mean,MRR_std,MRR_min,MRR_max
base,base,54348,11112,3,23.582591202374818,0.3338579613861361,23.263045558254213,23.929123426805035,56.81043153995241,1.0042800685171887,56.01126076396555,57.93773459924928,67.89087608252987,1.0003551229322072,66.98866563626996,68.96665930669022,23.582591202374818,0.3338579613861361,23.263045558254213,23.929123426805035,43.03651779136246,0.46837278103760943,42.70451933796976,43.572254536070645,47.621478481325006,0.4634581104828973,47.245721353059345,48.13935455391894,42.877863712263526,0.24155527577009223,42.72250906647441,43.15615920925049
task1,base,54348,11752,3,6.468192635116901,0.7498971192871472,5.711341723706484,7.21093692500184,14.835872525207918,1.0227140145455977,14.053875027599913,15.99322882166777,19.1439120728147,0.9267148809647597,18.558180613822035,20.212335320526975,6.468192635116901,0.7498971192871472,5.711341723706484,7.21093692500184,11.307949974329778,0.9097181775547909,10.51620138203009,12.30168528067949,13.078627753417436,0.860108419450138,12.36635326610949,14.03416910471221,12.877196128368203,0.7317727575819617,12.333712202653178,13.709259682462521
task1,task1,3052,11752,3,31.90257754477938,8.922803055266252,26.50720838794233,42.201834862385326,49.104412407164695,8.125709035458117,44.29882044560944,58.48623853211009,55.8868501529052,8.015165103035255,51.01572739187418,65.13761467889908,31.90257754477938,8.922803055266252,26.50720838794233,42.201834862385326,41.92204419157296,8.516017526536611,36.97628193726546,51.755436938524554,44.720071160986,8.462973933576857,39.809484719292676,54.49223074656795,43.157890052345444,8.355703358143455,38.29502965644647,52.80612149369826
task2,base,54348,12392,3,2.4901253649321657,0.2167942041074893,2.2944726576874954,2.7231912857878857,5.36726282475896,0.8737879998930983,4.831824538161477,6.375579598145285,6.901204582812002,1.3597822068498469,6.110620446014573,8.471332891734747,2.4901253649321657,0.2167942041074893,2.2944726576874954,2.7231912857878857,4.154426675997346,0.5808968789549399,3.7669583908320265,4.8223363451235794,4.785305058060344,0.778286527153753,4.298431164224986,5.6829172697009005,4.9837316550110256,0.8670136462684515,4.448269878237806,5.98404235272005
task2,task1,3052,12392,3,8.529925731760594,2.8385755871759586,6.061598951507208,11.631716906946265,15.224989078200087,4.894270464512307,11.66448230668414,20.80602883355177,19.189602446483182,5.715222507489838,15.104849279161206,25.72083879423329,8.529925731760594,2.8385755871759586,6.061598951507208,11.631716906946265,12.382243324336448,4.005784877453373,9.313486787938508,16.913847388946213,14.001162133398092,4.343149880395963,10.711890107526067,18.92428377821436,14.337254903784169,4.237074976599323,11.114410538504664,19.13658549245032
task2,task2,3206,12392,3,14.608026616760242,8.990211613531825,7.92264504054897,24.828446662507798,26.013724266999375,14.097633554476399,16.43792888334373,42.20212102308172,32.05448118111874,14.817327098548558,22.208359326263256,49.09544603867748,14.608026616760242,8.990211613531825,7.92264504054897,24.828446662507798,21.19163615115097,11.987855827528485,12.792871657268599,34.920144988385424,23.677059577343794,12.283999588233174,15.163238987057042,37.75908005512735,23.634752331862803,11.442384812844494,15.569766491409846,36.73064266973485
task3,base,54348,13035,3,1.7289811339270382,0.6609046093359342,0.9862368440420991,2.2521527931110623,4.0449203895880865,1.6574806812011618,2.1785530286303083,5.345182895414735,5.396089399180589,2.3049312793110417,2.789431073820564,7.1649370722013686,1.7289811339270382,0.6609046093359342,0.9862368440420991,2.2521527931110623,3.0658665198444055,1.2367191127273398,1.6736998001436107,4.037409554063384,3.6201254505424565,1.5018271636055718,1.9251791738802264,4.785171680877898,3.925122269288863,1.5424694525649847,2.167229488949345,5.052205197918342
task3,task1,3052,13035,3,2.129750982961992,2.6400048595653587,0.22935779816513763,5.144167758846658,4.303189165574486,4.112590668611444,1.1140235910878113,8.944954128440367,5.657492354740061,4.69590404752779,1.8676277850589778,10.910878112712975,2.129750982961992,2.6400048595653587,0.22935779816513763,5.144167758846658,3.372338811296102,3.5019752386375447,0.7317502017414897,7.344858487030469,3.9288020240734522,3.7405938740016147,1.0405149716068534,8.154202632479086,4.619081070351257,3.639773239824851,1.8011406708513613,8.728487932197702
task3,task2,3206,13035,3,2.1730089415678937,3.6830211497719834,0.0,6.4254522769806615,4.023705552089832,6.619586348387507,0.06238303181534623,11.665626949469745,5.323352048242878,8.390595081201798,0.12476606363069245,15.003119151590768,2.1730089415678937,3.6830211497719834,0.0,6.4254522769806615,3.2290419357981595,5.367079364569473,0.031191515907673113,9.425341986301015,3.7623419502490916,6.096399726447212,0.05532456927945,10.79847605914082,4.422161149790242,6.133562530731292,0.6456116624571574,11.499255103612793
task3,task3,3056,13035,3,21.793193717277486,9.222699688107559,11.223821989528796,28.206806282722514,36.20200698080279,13.616746886813244,20.54973821989529,45.32068062827225,42.659249563699824,14.771825807657171,25.68717277486911,52.617801047120416,21.793193717277486,9.222699688107559,11.223821989528796,28.206806282722514,30.141521748447914,11.80874892487118,16.58512909374936,38.19043236877281,32.79726684197498,12.298930630171075,18.681546031492545,41.2055028046613,32.0394142551988,11.314519077554962,19.046030306691275,39.718190038391434
